# FCTZS-TRPG public スキーマ列一覧
# 更新日: 2026-07-17
# 出典: 既存 information_schema ダンプをベースに、database-optimization 適用後の
#       junction / 軽量ビュー、および Worker・フロントが参照する列を反映。
# 注意: column_id は旧ダンプ由来のため欠番があり、新規追加列は概算番号の場合がある。
#       本番の正本は下記SQLで再取得し、本ファイルを置き換えること。
#
# --- 再取得用SQL (Supabase SQL Editor) ---
# SELECT
#   c.table_name,
#   c.column_name,
#   c.ordinal_position AS column_id,
#   c.data_type,
#   c.is_nullable
# FROM information_schema.columns AS c
# JOIN information_schema.tables AS t
#   ON t.table_schema = c.table_schema
#  AND t.table_name = c.table_name
# WHERE c.table_schema = 'public'
#   AND t.table_type IN ('BASE TABLE', 'VIEW')
# ORDER BY c.table_name, c.ordinal_position;
# ----------------------------------------

| table_name               | column_name            | column_id | data_type                | is_nullable | kind  | notes |
| v_character_details      | id                     | 1         | text                     | YES         | view  | レガシー集約 |
| v_character_details      | name                   | 2         | text                     | YES         | view  | |
| v_character_details      | reading                | 3         | text                     | YES         | view  | |
| v_character_details      | system                 | 4         | text                     | YES         | view  | |
| v_character_details      | state                  | 5         | text                     | YES         | view  | |
| v_character_details      | job                    | 6         | text                     | YES         | view  | |
| v_character_details      | age                    | 7         | integer                  | YES         | view  | |
| v_character_details      | gender                 | 8         | text                     | YES         | view  | |
| v_character_details      | height                 | 9         | integer                  | YES         | view  | |
| v_character_details      | weight                 | 10        | integer                  | YES         | view  | |
| v_character_details      | origin                 | 11        | text                     | YES         | view  | |
| v_character_details      | memo                   | 12        | text                     | YES         | view  | |
| v_character_details      | iachara_url            | 13        | text                     | YES         | view  | |
| v_character_details      | race                   | 14        | text                     | YES         | view  | |
| v_character_details      | original_species       | 15        | text                     | YES         | view  | |
| v_character_details      | player_id              | 16        | text                     | YES         | view  | |
| v_character_details      | player_name            | 17        | text                     | YES         | view  | |
| v_character_details      | attributes             | 18        | jsonb                    | YES         | view  | |
| v_character_details      | emotions               | 19        | jsonb                    | YES         | view  | |
